step,epoch,train_loss,val epoch,val_loss,train epoch
49,0,0.07212330400943756,,,
99,0,0.058422379195690155,,,
149,0,0.06200706958770752,,,
199,0,0.05554909631609917,,,
249,0,0.0645328164100647,,,
299,0,0.04920584335923195,,,
349,0,0.05194016918540001,,,
399,0,0.05056903511285782,,,
449,0,0.05020715668797493,,,
499,0,0.044200897216796875,,,
549,0,0.040810003876686096,,,
599,0,0.03842303529381752,,,
649,0,0.03773951530456543,,,
699,0,0.036373794078826904,,,
749,0,0.04011550918221474,,,
799,0,0.03395998105406761,,,
849,0,0.03448925539851189,,,
899,0,0.027548545971512794,,,
910,0,,0.0,0.034110505133867264,
910,0,,,,0.0
949,1,0.035038914531469345,,,
999,1,0.036133043467998505,,,
1049,1,0.03513301536440849,,,
1099,1,0.030704161152243614,,,
1149,1,0.03410150483250618,,,
1199,1,0.031185349449515343,,,
1249,1,0.0309619028121233,,,
1299,1,0.02591114118695259,,,
1349,1,0.027396012097597122,,,
1399,1,0.027587102726101875,,,
1449,1,0.026886729523539543,,,
1499,1,0.02604500576853752,,,
1549,1,0.028058217838406563,,,
1599,1,0.030875233933329582,,,
1649,1,0.028119003400206566,,,
1699,1,0.031628597527742386,,,
1749,1,0.030932601541280746,,,
1799,1,0.025590794160962105,,,
1821,1,,1.0,0.02746083401143551,
1821,1,,,,1.0
1849,2,0.025439564138650894,,,
1899,2,0.02749069593846798,,,
1949,2,0.02865246869623661,,,
1999,2,0.02862289920449257,,,
2049,2,0.027964269742369652,,,
2099,2,0.025079866871237755,,,
2149,2,0.02735798805952072,,,
2199,2,0.02565312385559082,,,
2249,2,0.0245817918330431,,,
2299,2,0.028904803097248077,,,
2349,2,0.02664419449865818,,,
2399,2,0.025032930076122284,,,
2449,2,0.0276621263474226,,,
2499,2,0.027383944019675255,,,
2549,2,0.02424604818224907,,,
2599,2,0.02430909499526024,,,
2649,2,0.024221142753958702,,,
2699,2,0.024513470008969307,,,
2732,2,,2.0,0.024815358221530914,
2732,2,,,,2.0
2749,3,0.023901406675577164,,,
2799,3,0.02549746073782444,,,
2849,3,0.022681372240185738,,,
2899,3,0.024726327508687973,,,
2949,3,0.024766115471720695,,,
2999,3,0.023451458662748337,,,
3049,3,0.021559618413448334,,,
3099,3,0.02362435683608055,,,
3149,3,0.024173200130462646,,,
3199,3,0.023599393665790558,,,
3249,3,0.02320903167128563,,,
3299,3,0.02385997772216797,,,
3349,3,0.023251362144947052,,,
3399,3,0.02401762083172798,,,
3449,3,0.02555547095835209,,,
3499,3,0.02391216903924942,,,
3549,3,0.023373739793896675,,,
3599,3,0.026042049750685692,,,
3643,3,,3.0,0.023800352588295937,
3643,3,,,,3.0
3649,4,0.025011183694005013,,,
3699,4,0.026004498824477196,,,
3749,4,0.0234883651137352,,,
3799,4,0.023523204028606415,,,
3849,4,0.024080796167254448,,,
3899,4,0.02248629368841648,,,
3949,4,0.026892678812146187,,,
3999,4,0.026759592816233635,,,
4049,4,0.024077316746115685,,,
4099,4,0.022066712379455566,,,
4149,4,0.02192961424589157,,,
4199,4,0.02277367003262043,,,
4249,4,0.027246255427598953,,,
4299,4,0.025976533070206642,,,
4349,4,0.0224570594727993,,,
4399,4,0.02249809540808201,,,
4449,4,0.02536614052951336,,,
4499,4,0.021955518051981926,,,
4549,4,0.022634295746684074,,,
4554,4,,4.0,0.023225480690598488,
4554,4,,,,4.0
4599,5,0.021991955116391182,,,
4649,5,0.023994358256459236,,,
4699,5,0.02299646846950054,,,
4749,5,0.023204730823636055,,,
4799,5,0.024114878848195076,,,
4849,5,0.022685186937451363,,,
4899,5,0.026309816166758537,,,
4949,5,0.0219565462321043,,,
4999,5,0.022296017035841942,,,
5049,5,0.02295820601284504,,,
5099,5,0.022977551445364952,,,
5149,5,0.02175632305443287,,,
5199,5,0.022506458684802055,,,
5249,5,0.022661380469799042,,,
5299,5,0.02388017065823078,,,
5349,5,0.02618197537958622,,,
5399,5,0.022229695692658424,,,
5449,5,0.021279651671648026,,,
5465,5,,5.0,0.022548606619238853,
5465,5,,,,5.0
5499,6,0.025865117087960243,,,
5549,6,0.021076634526252747,,,
5599,6,0.02275737188756466,,,
5649,6,0.020730605348944664,,,
5699,6,0.02183300256729126,,,
5749,6,0.021008895710110664,,,
5799,6,0.022231005132198334,,,
5849,6,0.02092079631984234,,,
5899,6,0.02173551172018051,,,
5949,6,0.021565398201346397,,,
5999,6,0.023736655712127686,,,
6049,6,0.023570595309138298,,,
6099,6,0.023172056302428246,,,
6149,6,0.0222038384526968,,,
6199,6,0.022871848195791245,,,
6249,6,0.02295989915728569,,,
6299,6,0.019342349842190742,,,
6349,6,0.021752623841166496,,,
6376,6,,6.0,0.02164684236049652,
6376,6,,,,6.0
6399,7,0.023671431466937065,,,
6449,7,0.021866219118237495,,,
6499,7,0.02225443162024021,,,
6549,7,0.02180100977420807,,,
6599,7,0.021513301879167557,,,
6649,7,0.02272896282374859,,,
6699,7,0.022169215604662895,,,
6749,7,0.020944472402334213,,,
6799,7,0.020346984267234802,,,
6849,7,0.0214548222720623,,,
6899,7,0.01918835937976837,,,
6949,7,0.021913640201091766,,,
6999,7,0.02180052176117897,,,
7049,7,0.0232468843460083,,,
7099,7,0.023107625544071198,,,
7149,7,0.020689064636826515,,,
7199,7,0.020779168233275414,,,
7249,7,0.023356495425105095,,,
7287,7,,7.0,0.021107930690050125,
7287,7,,,,7.0
7299,8,0.01837131567299366,,,
7349,8,0.020393436774611473,,,
7399,8,0.021801352500915527,,,
7449,8,0.021283967420458794,,,
7499,8,0.022331809625029564,,,
7549,8,0.023676453158259392,,,
7599,8,0.020851941779255867,,,
7649,8,0.020433936268091202,,,
7699,8,0.02134607546031475,,,
7749,8,0.022603003308176994,,,
7799,8,0.01909520849585533,,,
7849,8,0.020143650472164154,,,
7899,8,0.02180877886712551,,,
7949,8,0.023442326113581657,,,
7999,8,0.02119406871497631,,,
8049,8,0.02293889783322811,,,
8099,8,0.023930689319968224,,,
8149,8,0.020956870168447495,,,
8198,8,,8.0,0.020707128569483757,
8198,8,,,,8.0
8199,9,0.021682249382138252,,,
8249,9,0.021485595032572746,,,
8299,9,0.016946347430348396,,,
8349,9,0.018707871437072754,,,
8399,9,0.01939687877893448,,,
8449,9,0.022936541587114334,,,
8499,9,0.018064502626657486,,,
8549,9,0.020743580535054207,,,
8599,9,0.020495794713497162,,,
8649,9,0.018158696591854095,,,
8699,9,0.019056355580687523,,,
8749,9,0.018891356885433197,,,
8799,9,0.0218247901648283,,,
8849,9,0.020374814048409462,,,
8899,9,0.018352042883634567,,,
8949,9,0.021646738052368164,,,
8999,9,0.019784318283200264,,,
9049,9,0.02126879058778286,,,
9099,9,0.021537721157073975,,,
9109,9,,9.0,0.020001491531729698,
9109,9,,,,9.0
9149,10,0.020089387893676758,,,
9199,10,0.017597107216715813,,,
9249,10,0.018990548327565193,,,
9299,10,0.01859242655336857,,,
9349,10,0.01874563656747341,,,
9399,10,0.019571319222450256,,,
9449,10,0.020827623084187508,,,
9499,10,0.017727090045809746,,,
9549,10,0.019192563369870186,,,
9599,10,0.01889461651444435,,,
9649,10,0.019559400156140327,,,
9699,10,0.01964264176785946,,,
9749,10,0.020203297957777977,,,
9799,10,0.022127831354737282,,,
9849,10,0.01948048546910286,,,
9899,10,0.018862711265683174,,,
9949,10,0.021356891840696335,,,
9999,10,0.020266778767108917,,,
10020,10,,10.0,0.019517766311764717,
10020,10,,,,10.0
10049,11,0.019935868680477142,,,
10099,11,0.01966276578605175,,,
10149,11,0.020594023168087006,,,
10199,11,0.020208099856972694,,,
10249,11,0.018304049968719482,,,
10299,11,0.019135532900691032,,,
10349,11,0.020845388993620872,,,
10399,11,0.01998927630484104,,,
10449,11,0.022166922688484192,,,
10499,11,0.01990349218249321,,,
10549,11,0.016026334837079048,,,
10599,11,0.02044518291950226,,,
10649,11,0.020828664302825928,,,
10699,11,0.02132231555879116,,,
10749,11,0.020356062799692154,,,
10799,11,0.019248230382800102,,,
10849,11,0.020618177950382233,,,
10899,11,0.017258476465940475,,,
10931,11,,11.0,0.01942742057144642,
10931,11,,,,11.0
10949,12,0.017907951027154922,,,
10999,12,0.019868740811944008,,,
11049,12,0.02007090300321579,,,
11099,12,0.01848014071583748,,,
11149,12,0.018396640196442604,,,
11199,12,0.018145481124520302,,,
11249,12,0.016791226342320442,,,
11299,12,0.020375844091176987,,,
11349,12,0.01733187958598137,,,
11399,12,0.01832771673798561,,,
11449,12,0.018343806266784668,,,
11499,12,0.019108986482024193,,,
11549,12,0.01853806897997856,,,
11599,12,0.018410980701446533,,,
11649,12,0.021047305315732956,,,
11699,12,0.01798528991639614,,,
11749,12,0.020573260262608528,,,
11799,12,0.02182886004447937,,,
11842,12,,12.0,0.019374454393982887,
11842,12,,,,12.0
11849,13,0.018794074654579163,,,
11899,13,0.018106548115611076,,,
11949,13,0.017953960224986076,,,
11999,13,0.018191559240221977,,,
12049,13,0.02131262980401516,,,
12099,13,0.019939828664064407,,,
12149,13,0.016042983159422874,,,
12199,13,0.02050640620291233,,,
12249,13,0.018302487209439278,,,
12299,13,0.019749606028199196,,,
12349,13,0.022364413365721703,,,
12399,13,0.016623537987470627,,,
12449,13,0.01925036869943142,,,
12499,13,0.01785840466618538,,,
12549,13,0.018816061317920685,,,
12599,13,0.020112071186304092,,,
12649,13,0.019281605258584023,,,
12699,13,0.01824057288467884,,,
12749,13,0.02099674567580223,,,
12753,13,,13.0,0.01933741569519043,
12753,13,,,,13.0
12799,14,0.01771131530404091,,,
12849,14,0.021584952250123024,,,
12899,14,0.02034345641732216,,,
12949,14,0.019748833030462265,,,
12999,14,0.018501149490475655,,,
13049,14,0.01960342563688755,,,
13099,14,0.02074495330452919,,,
13149,14,0.019119463860988617,,,
13199,14,0.018589459359645844,,,
13249,14,0.0196856539696455,,,
13299,14,0.01861351914703846,,,
13349,14,0.021049050614237785,,,
13399,14,0.017495881766080856,,,
13449,14,0.018031377345323563,,,
13499,14,0.018902331590652466,,,
13549,14,0.01952022686600685,,,
13599,14,0.018536347895860672,,,
13649,14,0.01620873436331749,,,
13664,14,,14.0,0.019287453964352608,
13664,14,,,,14.0
13699,15,0.018853768706321716,,,
13749,15,0.01730411686003208,,,
13799,15,0.022060301154851913,,,
13849,15,0.020439792424440384,,,
13899,15,0.01900935359299183,,,
13949,15,0.019722525030374527,,,
13999,15,0.019690245389938354,,,
14049,15,0.021892841905355453,,,
14099,15,0.02037019468843937,,,
14149,15,0.018398601561784744,,,
14199,15,0.01806083507835865,,,
14249,15,0.019636617973446846,,,
14299,15,0.018494948744773865,,,
14349,15,0.017143649980425835,,,
14399,15,0.01932348683476448,,,
14449,15,0.01933804340660572,,,
14499,15,0.017474379390478134,,,
14549,15,0.019982753321528435,,,
14575,15,,15.0,0.01924564689397812,
14575,15,,,,15.0
14599,16,0.020594926550984383,,,
14649,16,0.018682533875107765,,,
14699,16,0.020391110330820084,,,
14749,16,0.016851263120770454,,,
14799,16,0.018694382160902023,,,
14849,16,0.01973695121705532,,,
14899,16,0.0183308906853199,,,
14949,16,0.017601603642106056,,,
14999,16,0.018537236377596855,,,
15049,16,0.020969387143850327,,,
15099,16,0.021342555060982704,,,
15149,16,0.018050504848361015,,,
15199,16,0.019469304010272026,,,
15249,16,0.01637347787618637,,,
15299,16,0.020511597394943237,,,
15349,16,0.019044987857341766,,,
15399,16,0.01928439922630787,,,
15449,16,0.017805619165301323,,,
15486,16,,16.0,0.019195176661014557,
15486,16,,,,16.0
15499,17,0.020385077223181725,,,
15549,17,0.0196351557970047,,,
15599,17,0.017846403643488884,,,
15649,17,0.01968047395348549,,,
15699,17,0.02002820558845997,,,
15749,17,0.019470160827040672,,,
15799,17,0.018850533291697502,,,
15849,17,0.02109541743993759,,,
15899,17,0.018006030470132828,,,
15949,17,0.017461160197854042,,,
15999,17,0.017338957637548447,,,
16049,17,0.019215650856494904,,,
16099,17,0.022934073582291603,,,
16149,17,0.017031755298376083,,,
16199,17,0.018926946446299553,,,
16249,17,0.016841601580381393,,,
16299,17,0.01732068695127964,,,
16349,17,0.016965113580226898,,,
16397,17,,17.0,0.0191708542406559,
16397,17,,,,17.0
16399,18,0.017535259947180748,,,
16449,18,0.018820542842149734,,,
16499,18,0.019105689600110054,,,
16549,18,0.018032951280474663,,,
16599,18,0.01659507304430008,,,
16649,18,0.02012314274907112,,,
16699,18,0.021204641088843346,,,
16749,18,0.019475921988487244,,,
16799,18,0.020100843161344528,,,
16849,18,0.01916835457086563,,,
16899,18,0.020939042791724205,,,
16949,18,0.0203185323625803,,,
16999,18,0.021439313888549805,,,
17049,18,0.015931060537695885,,,
17099,18,0.017837487161159515,,,
17149,18,0.01911633275449276,,,
17199,18,0.017901863902807236,,,
17249,18,0.018953124061226845,,,
17299,18,0.01866556704044342,,,
17308,18,,18.0,0.01911160908639431,
17308,18,,,,18.0
17349,19,0.018931424245238304,,,
17399,19,0.021163390949368477,,,
17449,19,0.016789373010396957,,,
17499,19,0.01888728141784668,,,
17549,19,0.018754612654447556,,,
17599,19,0.018848512321710587,,,
17649,19,0.015990503132343292,,,
17699,19,0.01720685511827469,,,
17749,19,0.021118195727467537,,,
17799,19,0.018220968544483185,,,
17849,19,0.020051559433341026,,,
17899,19,0.018796175718307495,,,
17949,19,0.0165313258767128,,,
17999,19,0.01949455216526985,,,
18049,19,0.019196243956685066,,,
18099,19,0.01768331415951252,,,
18149,19,0.018745802342891693,,,
18199,19,0.01894107088446617,,,
18219,19,,19.0,0.019108207896351814,
18219,19,,,,19.0
